
>>> Condition Data >>>

    1095251 of 4400220000 molecules passed the conditions (0.02 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 1629:    99.9300 percent of the time (19987 hits)
  - 1637:   100.0000 percent of the time (20001 hits)
  - 1672:     0.7950 percent of the time (159 hits)
  - 1675:     0.0050 percent of the time (1 hits)
  - 1676:     0.0050 percent of the time (1 hits)
  - 1689:    12.9794 percent of the time (2596 hits)
  - 1690:     0.0050 percent of the time (1 hits)
  - 1693:     4.0498 percent of the time (810 hits)
  - 1694:    53.6523 percent of the time (10731 hits)
  - 1705:     0.0050 percent of the time (1 hits)
  - 1706:     3.0298 percent of the time (606 hits)
  - 1716:     7.9096 percent of the time (1582 hits)
  - 1717:     1.5449 percent of the time (309 hits)
  - 1726:     0.0100 percent of the time (2 hits)
  - 1730:     0.4150 percent of the time (83 hits)
  - 1734:    43.7078 percent of the time (8742 hits)
  - 1735:     4.9398 percent of the time (988 hits)
  - 1736:     1.0899 percent of the time (218 hits)
  - 1737:     0.0200 percent of the time (4 hits)
  - 1752:     0.2900 percent of the time (58 hits)
  - 1754:     0.0050 percent of the time (1 hits)
  - 1760:    99.5700 percent of the time (19915 hits)
  - 1773:    39.7830 percent of the time (7957 hits)
  - 1775:     0.0050 percent of the time (1 hits)
  - 1781:     3.6548 percent of the time (731 hits)
  - 1787:     0.0050 percent of the time (1 hits)
  - 1788:     1.0899 percent of the time (218 hits)
  - 1791:     5.2647 percent of the time (1053 hits)
  - 1793:     0.0050 percent of the time (1 hits)
  - 1794:     0.0050 percent of the time (1 hits)
  - 1797:     0.0050 percent of the time (1 hits)
  - 1812:     6.1997 percent of the time (1240 hits)
  - 1815:   100.0000 percent of the time (20001 hits)
  - 1816:     0.0050 percent of the time (1 hits)
  - 1817:     0.1300 percent of the time (26 hits)
  - 1821:     0.0050 percent of the time (1 hits)
  - 1823:     0.6900 percent of the time (138 hits)
  - 1828:     0.1050 percent of the time (21 hits)
  - 1842:     2.0099 percent of the time (402 hits)
  - 1846:    85.9907 percent of the time (17199 hits)
  - 1853:     2.3999 percent of the time (480 hits)
  - 1855:     0.0050 percent of the time (1 hits)
  - 1858:     0.0900 percent of the time (18 hits)
  - 1864:     0.0050 percent of the time (1 hits)
  - 1872:     0.0150 percent of the time (3 hits)
  - 1876:     0.0050 percent of the time (1 hits)
  - 1890:    99.9400 percent of the time (19989 hits)
  - 1893:     0.0150 percent of the time (3 hits)
  - 1901:     0.2550 percent of the time (51 hits)
  - 1904:     4.1298 percent of the time (826 hits)
  - 1912:     0.0050 percent of the time (1 hits)
  - 1919:    79.9510 percent of the time (15991 hits)
  - 1925:     0.2600 percent of the time (52 hits)
  - 1929:     3.8348 percent of the time (767 hits)
  - 1934:     0.0200 percent of the time (4 hits)
  - 1935:     0.0150 percent of the time (3 hits)
  - 1937:     0.0400 percent of the time (8 hits)
  - 1940:     0.0350 percent of the time (7 hits)
  - 1944:    99.5050 percent of the time (19902 hits)
  - 1945:     0.0050 percent of the time (1 hits)
  - 1949:    83.2158 percent of the time (16644 hits)
  - 1954:     0.0050 percent of the time (1 hits)
  - 1956:     0.0050 percent of the time (1 hits)
  - 1960:     0.0050 percent of the time (1 hits)
  - 1963:     5.2697 percent of the time (1054 hits)
  - 1965:     0.0600 percent of the time (12 hits)
  - 1967:     0.1500 percent of the time (30 hits)
