
>>> Condition Data >>>

    9397345 of 4400220000 molecules passed the conditions (0.21 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 396:     5.5347 percent of the time (1107 hits)
  - 397:    98.7901 percent of the time (19759 hits)
  - 398:    17.2291 percent of the time (3446 hits)
  - 399:     2.4349 percent of the time (487 hits)
  - 400:     5.9847 percent of the time (1197 hits)
  - 401:     6.9097 percent of the time (1382 hits)
  - 402:     2.3149 percent of the time (463 hits)
  - 403:     1.5349 percent of the time (307 hits)
  - 404:     6.3397 percent of the time (1268 hits)
  - 405:    19.5940 percent of the time (3919 hits)
  - 406:     1.6149 percent of the time (323 hits)
  - 407:     0.0300 percent of the time (6 hits)
  - 408:     0.4700 percent of the time (94 hits)
  - 409:     9.0645 percent of the time (1813 hits)
  - 410:    10.7645 percent of the time (2153 hits)
  - 411:     0.7550 percent of the time (151 hits)
  - 412:     3.9448 percent of the time (789 hits)
  - 414:     0.3050 percent of the time (61 hits)
  - 415:   100.0000 percent of the time (20001 hits)
  - 416:     1.8349 percent of the time (367 hits)
  - 417:     1.0499 percent of the time (210 hits)
  - 418:    10.4395 percent of the time (2088 hits)
  - 419:     0.3050 percent of the time (61 hits)
  - 420:     7.6746 percent of the time (1535 hits)
  - 421:    75.7362 percent of the time (15148 hits)
  - 422:     1.3349 percent of the time (267 hits)
  - 423:     0.3700 percent of the time (74 hits)
  - 424:    84.0408 percent of the time (16809 hits)
  - 425:    18.0891 percent of the time (3618 hits)
  - 426:    17.5491 percent of the time (3510 hits)
  - 427:    82.5359 percent of the time (16508 hits)
  - 428:    88.0706 percent of the time (17615 hits)
  - 429:    22.4289 percent of the time (4486 hits)
  - 430:     0.9850 percent of the time (197 hits)
  - 431:     1.9999 percent of the time (400 hits)
  - 432:    22.3639 percent of the time (4473 hits)
  - 433:     4.2548 percent of the time (851 hits)
  - 434:     1.6049 percent of the time (321 hits)
  - 435:    14.5893 percent of the time (2918 hits)
  - 436:     0.3300 percent of the time (66 hits)
  - 437:     1.7349 percent of the time (347 hits)
  - 438:    32.0184 percent of the time (6404 hits)
  - 439:     6.5797 percent of the time (1316 hits)
  - 440:   100.0000 percent of the time (20001 hits)
  - 441:     0.0100 percent of the time (2 hits)
  - 442:     0.0400 percent of the time (8 hits)
  - 444:    90.0855 percent of the time (18018 hits)
  - 445:     4.0298 percent of the time (806 hits)
  - 446:    23.3138 percent of the time (4663 hits)
  - 447:     8.0896 percent of the time (1618 hits)
  - 448:     3.5348 percent of the time (707 hits)
  - 449:    18.9991 percent of the time (3800 hits)
  - 450:     2.7999 percent of the time (560 hits)
  - 451:     9.6195 percent of the time (1924 hits)
  - 452:    68.6266 percent of the time (13726 hits)
  - 453:    12.8994 percent of the time (2580 hits)
  - 454:    18.1191 percent of the time (3624 hits)
  - 455:    19.4190 percent of the time (3884 hits)
  - 456:    12.0844 percent of the time (2417 hits)
  - 457:    37.6381 percent of the time (7528 hits)
  - 458:     1.4149 percent of the time (283 hits)
  - 459:    11.9394 percent of the time (2388 hits)
  - 460:     2.3949 percent of the time (479 hits)
  - 464:     4.8048 percent of the time (961 hits)
  - 465:     0.4100 percent of the time (82 hits)
  - 467:     3.5198 percent of the time (704 hits)
  - 468:     7.6446 percent of the time (1529 hits)
  - 469:    33.9283 percent of the time (6786 hits)
  - 470:    28.5386 percent of the time (5708 hits)
  - 471:    18.2541 percent of the time (3651 hits)
  - 472:     3.9698 percent of the time (794 hits)
  - 473:    11.9094 percent of the time (2382 hits)
  - 474:    14.2393 percent of the time (2848 hits)
  - 475:    14.0243 percent of the time (2805 hits)
  - 476:     4.6098 percent of the time (922 hits)
  - 477:    53.2923 percent of the time (10659 hits)
  - 478:     5.1497 percent of the time (1030 hits)
  - 483:     9.8495 percent of the time (1970 hits)
  - 484:     0.3400 percent of the time (68 hits)
  - 485:     1.4299 percent of the time (286 hits)
  - 486:     1.2149 percent of the time (243 hits)
  - 487:     0.0350 percent of the time (7 hits)
  - 488:     0.0250 percent of the time (5 hits)
  - 491:     2.0499 percent of the time (410 hits)
  - 492:    10.3195 percent of the time (2064 hits)
  - 493:     5.7197 percent of the time (1144 hits)
  - 494:     3.9448 percent of the time (789 hits)
  - 495:     6.4397 percent of the time (1288 hits)
  - 496:    12.9644 percent of the time (2593 hits)
  - 497:    11.2894 percent of the time (2258 hits)
  - 498:    37.3031 percent of the time (7461 hits)
  - 499:     0.8450 percent of the time (169 hits)
  - 500:     0.7550 percent of the time (151 hits)
  - 501:     1.6099 percent of the time (322 hits)
  - 502:    29.1185 percent of the time (5824 hits)
  - 503:     3.4598 percent of the time (692 hits)
